EXP_ID,Stage,Condition,Area,Circ.,AR,Round,Solidity
Batch1,DIV3,Control,43.429,0.871,1.762,0.567,0.913
Batch1,DIV3,Control,80.653,0.618,2.756,0.363,0.827
Batch1,DIV3,Control,57.905,0.911,1.201,0.833,0.908
Batch1,DIV3,Control,65.487,0.862,1.481,0.675,0.9
Batch1,DIV3,Control,77.206,0.787,1.821,0.549,0.862
Batch1,DIV3,Control,68.934,0.967,1.374,0.728,0.935
Batch1,DIV3,Control,46.186,0.987,1.087,0.92,0.899
Batch1,DIV3,Control,71.002,0.894,1.653,0.605,0.916
Batch1,DIV3,Control,71.002,0.965,1.19,0.84,0.928
Batch1,DIV3,Control,123.392,0.861,1.452,0.689,0.92
Batch1,DIV3,Control,72.381,0.884,1.685,0.593,0.929
Batch1,DIV3,Control,82.721,0.799,1.8,0.556,0.913
Batch1,DIV3,Control,57.905,0.957,1.119,0.894,0.913
Batch1,DIV3,Control,63.419,0.765,2.051,0.488,0.88
Batch1,DIV3,Control,81.342,0.82,1.866,0.536,0.891
Batch1,DIV3,Control,59.283,0.994,1.221,0.819,0.95
Batch1,DIV3,Control,125.46,0.848,1.617,0.618,0.899
Batch1,DIV3,Control,75.828,0.862,1.83,0.546,0.924
Batch1,DIV3,Control,84.1,0.773,1.816,0.551,0.875
Batch1,DIV3,Control,44.118,1,1.087,0.92,0.921
Batch1,DIV3,Control,93.061,0.72,2.225,0.449,0.863
Batch1,DIV3,Control,79.964,0.936,1.18,0.847,0.921
Batch1,DIV3,Control,71.692,0.944,1.1,0.909,0.929
Batch1,DIV3,Control,77.206,0.766,2.239,0.447,0.922
Batch1,DIV3,Control,85.478,0.774,1.777,0.563,0.883
Batch1,DIV3,Control,59.973,0.957,1.04,0.961,0.921
Batch1,DIV3,Control,114.431,0.94,1.108,0.902,0.925
Batch1,DIV3,Control,111.673,0.685,2.503,0.4,0.869
Batch1,DIV3,Control,76.517,0.821,1.608,0.622,0.902
Batch1,DIV3,Control,76.517,0.789,1.623,0.616,0.892
Batch1,DIV3,Control,77.896,0.912,1.282,0.78,0.9
Batch1,DIV3,Control,66.866,0.842,1.596,0.627,0.898
Batch1,DIV3,Control,80.653,0.917,1.308,0.764,0.921
Batch1,DIV3,Control,143.383,0.708,1.836,0.545,0.854
Batch1,DIV3,Control,88.925,0.595,3.332,0.3,0.863
Batch1,DIV3,Control,49.633,0.929,1.27,0.787,0.894
Batch1,DIV3,Control,146.14,0.762,1.565,0.639,0.883
Batch1,DIV3,Control,84.1,0.731,2.321,0.431,0.938
Batch1,DIV3,Control,79.964,0.713,2.392,0.418,0.906
Batch1,DIV3,Control,44.807,0.838,1.779,0.562,0.884
Batch1,DIV3,Control,25.506,0.928,1.57,0.637,0.851
Batch1,DIV3,Control,66.177,0.929,1.218,0.821,0.914
Batch1,DIV3,Control,78.585,0.858,1.771,0.565,0.912
Batch1,DIV3,Control,39.982,0.92,1.571,0.637,0.928
Batch1,DIV3,Control,76.517,0.845,1.82,0.55,0.91
Batch1,DIV3,Control,68.245,0.754,2.101,0.476,0.896
Batch1,DIV3,Control,82.721,0.811,2.005,0.499,0.906
Batch1,DIV3,Control,68.245,0.823,1.394,0.717,0.872
Batch1,DIV3,Control,81.342,0.642,2.326,0.43,0.868
Batch1,DIV3,Control,64.798,0.768,1.462,0.684,0.836
Batch1,DIV3,Control,77.206,0.641,2.295,0.436,0.842
Batch1,DIV3,Control,73.76,0.929,1.36,0.735,0.907
Batch1,DIV3,Control,71.002,0.935,1.236,0.809,0.941
Batch1,DIV3,Control,68.934,0.88,1.502,0.666,0.913
Batch1,DIV3,Control,82.032,0.856,1.67,0.599,0.905
Batch1,DIV3,Control,73.07,0.721,1.93,0.518,0.918
Batch1,DIV3,Control,46.186,0.892,1.046,0.956,0.931
Batch1,DIV3,Control,62.73,0.852,1.711,0.584,0.897
Batch1,DIV3,Control,55.147,0.959,1.172,0.853,0.925
Batch1,DIV3,Control,26.884,0.801,1.866,0.536,0.918
Batch1,DIV3,Control,41.361,0.993,1.16,0.862,0.93
Batch1,DIV3,Control,65.487,0.767,1.727,0.579,0.892
Batch1,DIV3,Control,60.662,0.851,1.822,0.549,0.907
Batch1,DIV3,Control,59.973,0.882,1.561,0.64,0.902
Batch1,DIV3,Control,56.526,0.902,1.115,0.897,0.891
Batch1,DIV3,Control,66.866,0.853,1.673,0.598,0.924
Batch1,DIV3,Control,64.798,0.953,1.573,0.636,0.94
Batch1,DIV3,Control,66.177,0.86,1.319,0.758,0.889
Batch1,DIV3,Control,74.449,0.647,2.528,0.396,0.818
Batch1,DIV3,Control,65.487,0.836,1.416,0.706,0.888
Batch1,DIV3,Control,72.381,0.941,1.498,0.668,0.921
Batch1,DIV3,Control,68.934,0.868,1.767,0.566,0.905
Batch1,DIV3,Control,68.245,0.971,1.204,0.83,0.943
Batch1,DIV3,Control,68.245,0.785,2.021,0.495,0.917
Batch1,DIV3,Control,61.351,0.783,2.079,0.481,0.908
Batch1,DIV3,Control,62.041,0.957,1.096,0.912,0.928
Batch1,DIV3,Control,55.837,0.971,1.245,0.803,0.926
Batch1,DIV3,Control,42.05,0.913,1.364,0.733,0.904
Batch1,DIV3,Control,64.798,0.668,2.471,0.405,0.855
