EXP_ID,GENOTYPE,CONDITION,TRACK_MEAN_SPEED (um/min),TRACK_MAX_SPEED (um/min),TRACK_DURATION (min),TRACK_DISPLACEMENT (um),TOTAL_DISTANCE_TRAVELED (um),CONFINEMENT_RATIO
Batch1,NEUR1,Control,0.235630837,0.553947334,265,5.311329061,61.836803,0.085892685
Batch1,NEUR1,Control,0.262435602,0.807313928,250,21.24585311,65.60890045,0.323825776
Batch1,NEUR1,Control,0.668251945,1.803590799,100,38.06907757,66.82519454,0.569681508
Batch1,NEUR1,Control,0.33113878,1.000381161,240,47.91684618,79.47330723,0.602930064
Batch1,NEUR1,Control,0.409417542,1.312276521,200,29.38502049,76.69881399,0.383122228
Batch1,NEUR1,Control,0.197537062,0.281182029,40,1.69718005,7.375360595,0.230114857
Batch1,NEUR1,Control,0.24535657,0.97022582,180,9.42166269,44.16418267,0.213332663
Batch1,NEUR1,Control,0.357301429,0.647118707,30,0.711486835,10.71904287,0.066375967
Batch1,NEUR1,Control,0.290000149,1.262920543,190,16.16468783,55.10002831,0.293369864
Batch1,NEUR1,Control,0.074405595,0.136200072,110,0,8.172004348,0
Batch1,NEUR1,Control,0.412905702,1.264565795,190,17.52947805,78.45208342,0.223441842
Batch1,NEUR1,Control,0.240526658,0.474571984,175,9.043322072,42.09216509,0.214845733
Batch1,NEUR1,Control,0.245002532,0.752547982,175,13.66398677,42.8754431,0.318690276
Batch1,NEUR1,Control,0.22866369,0.22866369,5,1.14331845,1.14331845,1
Batch1,NEUR1,Control,0.224296006,0.446497311,150,4.802595276,33.64440096,0.142745751
Batch1,NEUR1,Control,0.20960837,0.42663833,95,2.214042476,19.53783533,0.113320767
Batch1,NEUR1,Control,0.271330024,0.805309017,135,21.22552072,36.6295533,0.579464362
Batch1,NEUR1,Control,0.252831646,0.365555144,15,1.670045308,3.792474693,0.440357667
Batch1,NEUR1,Control,0.326035918,0.552360533,25,5.108735829,8.150897941,0.626769697
Batch1,NEUR1,Control,0.238097093,0.693620697,95,4.616722749,22.61922383,0.204106153
Batch1,NEUR1,Control,0.36287613,0.846536993,110,0.840579542,34.68271256,0.024236269
Batch1,NEUR1,Control,0.252195042,0.564973919,110,14.75217639,27.74145467,0.531773714
Batch1,NEUR1,Control,0.312920769,1.248051883,105,13.47407822,32.85668071,0.410086409
Batch1,NEUR1,Control,0.356987558,0.901466648,100,20.79610718,35.69875583,0.582544313
Batch1,NEUR1,Control,0.143010076,0.54480029,100,0.681000362,14.30100761,0.047619048
Batch1,NEUR1,Control,0.224880369,0.428740944,90,4.251186067,20.23923317,0.210046795
Batch1,NEUR1,Control,0.155046174,0.304197609,20,0.805872029,3.100923485,0.259881301
Batch1,NEUR1,Control,0.221717847,0.409495386,85,5.618511264,18.84601699,0.298127252
Batch1,NEUR1,Control,0.448622171,1.211362934,75,18.91900989,33.64666285,0.562284883
Batch1,NEUR1,Control,0.243543259,0.51244548,75,2.594688026,15.64496871,0.16584808
Batch1,NEUR1,Control,0.175114379,0.408600217,70,5.448002898,12.25800652,0.444444444
Batch1,NEUR1,Control,0.246761916,0.384052621,60,8.168210602,14.80571497,0.551693087
Batch1,NEUR1,Control,0.192034775,0.531385736,55,3.832686932,10.56191263,0.362878114
Batch1,NEUR1,Control,0.291403175,0.503072013,45,7.024254436,13.11314285,0.535665211
Batch1,NEUR1,Control,0.357623605,0.898058602,40,7.770380837,14.3049442,0.543195466
Batch1,NEUR1,Control,0.268095075,0.516265938,40,5.721114377,10.72380301,0.53349678
Batch1,NEUR1,Control,0.393889958,1.234797962,20,5.645820832,7.877799159,0.716674888
Batch1,NEUR1,Control,0.221371187,0.307544888,25,3.973018753,5.534279676,0.717892659
Batch1,NEUR1,Control,0.128101079,0.128101079,5,0.640505394,0.640505394,1
Batch1,NEUR1,Control,0.232959345,0.845953718,300,9.308142322,69.88780345,0.133186935
Batch1,NEUR1,Control,0.345950452,0.905411733,300,35.63043121,103.7851355,0.343309579
Batch1,NEUR1,Control,0.364824756,1.449241693,175,27.17060035,63.8443323,0.425575762
Batch1,NEUR1,Control,0.489869491,1.401624177,300,32.92897489,146.9608472,0.224066311
Batch1,NEUR1,Control,0.245447177,0.342806251,10,1.732107322,2.454471772,0.705694538
Batch1,NEUR1,Control,0.238995474,0.9797534,300,4.739729251,71.69864213,0.066106262
Batch1,NEUR1,Control,0.28859335,0.921918583,300,58.38723489,86.57800486,0.674388778
Batch1,NEUR1,Control,0.248217946,0.573766835,300,3.687417973,74.46538368,0.049518552
Batch1,NEUR1,Control,0.223837334,0.490189758,300,23.6923716,66.65662836,0.355439094
Batch1,NEUR1,Control,0.221848742,0.608688467,300,12.63120518,66.55462268,0.189787045
Batch1,NEUR1,Control,0.441770675,1.498200797,100,28.64259143,44.1770675,0.648358822
Batch1,NEUR1,Control,0.155511151,0.56955853,50,2.9322822,7.775557566,0.377115361
Batch1,NEUR1,Control,0.443501707,1.536268192,300,96.79587572,133.0505122,0.727512237
Batch1,NEUR1,Control,0.144211841,0.54480029,85,5.448002898,12.25800652,0.444444444
Batch1,NEUR1,Control,0.326577302,0.682379025,20,4.906447669,6.531546036,0.751192389
Batch1,NEUR1,Control,0.463157917,0.994800669,120,29.93829698,55.57895,0.538662515
Batch1,NEUR1,Control,0.384313424,1.103392865,300,32.18990531,115.2940272,0.279198377
Batch1,NEUR1,Control,0.151018327,0.374048011,300,0.635152183,45.30549806,0.014019318
Batch1,NEUR1,Control,0.233199494,0.536105464,300,6.969620241,69.9598483,0.099623147
Batch1,NEUR1,Control,0.314361133,0.943839373,300,6.967283766,94.30833989,0.073877706
Batch1,NEUR1,Control,0.297827855,0.579769717,185,4.707895815,55.09815315,0.085445619
Batch1,NEUR1,Control,0.226908882,0.562256488,300,0.585503479,68.07266452,0.008601154
Batch1,NEUR1,Control,0.390772569,2.678793472,300,25.92526096,117.2317707,0.22114535
Batch1,NEUR1,Control,0.147756603,0.376415838,300,0.278371314,44.32698088,0.006279952
