EXP_ID,Condition,Stage,Marker,Area cells,Mean in Cells,Mean/Area,Mean in FOV
Batch2,DZ-2384,DIV3,Tubb3,18464.008,5819.483,0.315179835,330.077
Batch2,DZ-2384,DIV3,Tubb3,22521.471,4859.231,0.21575993,337.702
Batch2,DZ-2384,DIV3,Tubb3,20621.646,7297.915,0.353895853,461.287
Batch2,DZ-2384,DIV3,Tubb3,19318.791,6757.797,0.349804343,421.792
Batch2,Spastazoline,DIV3,Tubb3,135967.062,2516.755,0.018510034,656.685
Batch2,Spastazoline,DIV3,Tubb3,528606.938,877.465,0.001659957,697.166
Batch2,Spastazoline,DIV3,Tubb3,551229.75,1083.647,0.001965872,885.882
Batch2,Spastazoline,DIV3,Tubb3,276359.688,1235.861,0.004471929,606.951
Batch2,Spastazoline,DIV3,Tubb3,199727.688,922.292,0.004617747,374.464
Batch2,Taxol,DIV3,Tubb3,208954.531,1251.526,0.005989466,484.271
Batch2,Taxol,DIV3,Tubb3,191672.734,1198.863,0.006254739,423.216
Batch2,Taxol,DIV3,Tubb3,77168.312,2031.351,0.026323642,347.809
Batch2,Taxol,DIV3,Tubb3,92242.141,1845.508,0.020007211,354.795
Batch2,Taxol,DIV3,Tubb3,178857.875,2076.674,0.01161075,679.295
Batch2,Taxol,DIV3,Tubb3,79320.438,4177.233,0.052662758,659.73
Batch2,Trichostatin,DIV3,Tubb3,288536.906,1274.661,0.004417671,605.221
Batch2,Trichostatin,DIV3,Tubb3,319348.406,954.451,0.002988745,518.411
Batch2,Trichostatin,DIV3,Tubb3,332088.812,1008.576,0.003037067,574.176
Batch2,Trichostatin,DIV3,Tubb3,313335.969,2209.003,0.00704995,1125.277
Batch3,Control,DIV3,Tubb3,238066.094,3262.033,0.013702216,1310.743
Batch3,Control,DIV3,Tubb3,226825.703,2886.606,0.012726097,1129.456
Batch3,Control,DIV3,Tubb3,211279.672,3455.612,0.016355629,1264.082
Batch3,Control,DIV3,Tubb3,323876,2802.849,0.008654081,1515.308
Batch3,Control,DIV3,Tubb3,273373.469,906.129,0.003314619,448.348
Batch3,Control,DIV3,Tubb3,405589.844,1924.5,0.004744941,1215.139
Batch3,Control,DIV3,Tubb3,157281.5,3027.951,0.019251794,883.448
